animal_name,sex,genotype,fatmass,mean_experimental_age,freewater,leanmass,totalwater
TDP43-Q331K-B6J-IC/8.2c,f,TDP-43_Q331K:Hom,11.26,72,0,21.71,18.92
TDP43-Q331K-B6J-IC/1.1e,m,TDP-43_Q331K:Hom,2.5,10,0.14,27.29,21.52
TDP43-Q331K-B6J-IC/1.1e,m,TDP-43_Q331K:Hom,5.77,20,0.18,29.19,23.12
TDP43-Q331K-B6J-IC/1.1e,m,TDP-43_Q331K:Hom,15.71,48,0.26,30.47,24.18
TDP43-Q331K-B6J-IC/1.1e,m,TDP-43_Q331K:Hom,15.35,64,0.21,30.26,24.45
TDP43-Q331K-B6J-IC/1.1e,m,TDP-43_Q331K:Hom,20.31,72,0.11,32.21,24.28
TDP43-Q331K-B6J-IC/1.1i,m,TDP-43_Q331K:Hom,2.62,10,0.12,27.39,21.53
TDP43-Q331K-B6J-IC/1.1i,m,TDP-43_Q331K:Hom,5.84,20,0.33,27.93,21.92
TDP43-Q331K-B6J-IC/1.1i,m,TDP-43_Q331K:Hom,14.79,48,0,29.53,22.68
TDP43-Q331K-B6J-IC/1.1i,m,TDP-43_Q331K:Hom,15.74,64,0,31.47,24.16
TDP43-Q331K-B6J-IC/1.1i,m,TDP-43_Q331K:Hom,20.66,72,0.14,32.39,25.71
TDP43-Q331K-B6J-IC/2.3f,m,TDP-43_Q331K:Hom,1.84,10,0.08,25.74,20.2
TDP43-Q331K-B6J-IC/2.3f,m,TDP-43_Q331K:Hom,3.16,20,0.15,26.92,21.13
TDP43-Q331K-B6J-IC/2.3f,m,TDP-43_Q331K:Hom,6.52,48,0.17,28.41,23.38
TDP43-Q331K-B6J-IC/2.3g,m,TDP-43_Q331K:Hom,2.37,10,0,26.97,21.07
TDP43-Q331K-B6J-IC/2.3g,m,TDP-43_Q331K:Hom,5.35,20,0.09,28.57,22.29
TDP43-Q331K-B6J-IC/3.3h,m,TDP-43_Q331K:Hom,2.1,10,0.32,25.57,20.55
TDP43-Q331K-B6J-IC/3.3h,m,TDP-43_Q331K:Hom,2.5,20,0.23,27.91,22.35
TDP43-Q331K-B6J-IC/3.3h,m,TDP-43_Q331K:Hom,5.19,48,0.12,28.32,22.57
TDP43-Q331K-B6J-IC/3.3i,m,TDP-43_Q331K:Hom,2.49,10,0,24.3,18.87
TDP43-Q331K-B6J-IC/3.3i,m,TDP-43_Q331K:Hom,5.56,20,0.14,26.09,20.31
TDP43-Q331K-B6J-IC/3.3i,m,TDP-43_Q331K:Hom,16.39,48,0.23,32.66,25.97
TDP43-Q331K-B6J-IC/3.3i,m,TDP-43_Q331K:Hom,20.23,64,0.05,34.05,28.95
TDP43-Q331K-B6J-IC/3.3i,m,TDP-43_Q331K:Hom,22.15,72,0.16,34.35,28.12
TDP43-Q331K-B6J-IC/3.3k,m,TDP-43_Q331K:Hom,1.81,10,0.08,27.33,21.64
TDP43-Q331K-B6J-IC/3.3k,m,TDP-43_Q331K:Hom,2.75,20,0.13,28.57,22.11
TDP43-Q331K-B6J-IC/3.3k,m,TDP-43_Q331K:Hom,5.08,48,0.21,28.64,22.84
TDP43-Q331K-B6J-IC/3.3k,m,TDP-43_Q331K:Hom,10.9,64,0.24,30.94,24.92
TDP43-Q331K-B6J-IC/3.3k,m,TDP-43_Q331K:Hom,10.6,72,0.51,30.36,25.2
TDP43-Q331K-B6J-IC/3.3m,m,TDP-43_Q331K:Hom,1.71,10,0.02,26.42,20.86
TDP43-Q331K-B6J-IC/3.3m,m,TDP-43_Q331K:Hom,2.43,20,0.2,28.08,22.4
TDP43-Q331K-B6J-IC/3.3m,m,TDP-43_Q331K:Hom,5.05,48,0.22,28.11,22.58
