animal_name,genotype,sex,inh,smell,time
C9ORF72-GR400-MAT-B6J/6.1c,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N1,21.9
C9ORF72-GR400-MAT-B6J/6.1c,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N2,36.2
C9ORF72-GR400-MAT-B6J/6.1c,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N3,44.8
C9ORF72-GR400-MAT-B6J/6.1c,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W1,53.2
C9ORF72-GR400-MAT-B6J/6.1c,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W2,70.3
C9ORF72-GR400-MAT-B6J/6.1c,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W3,12
C9ORF72-GR400-MAT-B6J/6.2c,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F1,29.5
C9ORF72-GR400-MAT-B6J/6.2c,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F2,25.1
C9ORF72-GR400-MAT-B6J/6.2c,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F3,8.2
C9ORF72-GR400-MAT-B6J/6.2c,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N1,35.7
C9ORF72-GR400-MAT-B6J/6.2c,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N2,0
C9ORF72-GR400-MAT-B6J/6.2c,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N3,13.8
C9ORF72-GR400-MAT-B6J/6.2c,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W1,21.3
C9ORF72-GR400-MAT-B6J/6.2c,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W2,6.4
C9ORF72-GR400-MAT-B6J/6.2c,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W3,1.7
C9ORF72-GR400-MAT-B6J/6.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F1,43.3
C9ORF72-GR400-MAT-B6J/6.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F2,30
C9ORF72-GR400-MAT-B6J/6.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F3,0
C9ORF72-GR400-MAT-B6J/6.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N1,37.4
C9ORF72-GR400-MAT-B6J/6.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N2,28.8
C9ORF72-GR400-MAT-B6J/6.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N3,9.9
C9ORF72-GR400-MAT-B6J/6.2f,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W1,14.7
