animal_name,genotype,sex,smell,time
TDP43-Q331K-B6J-IC/4.1h,TDP-43_Q331K:WT,m,F2,0
TDP43-Q331K-B6J-IC/4.1h,TDP-43_Q331K:WT,m,F3,0
TDP43-Q331K-B6J-IC/4.1h,TDP-43_Q331K:WT,m,N1,
TDP43-Q331K-B6J-IC/4.1h,TDP-43_Q331K:WT,m,N2,
TDP43-Q331K-B6J-IC/4.1h,TDP-43_Q331K:WT,m,N3,
TDP43-Q331K-B6J-IC/4.1h,TDP-43_Q331K:WT,m,W1,
TDP43-Q331K-B6J-IC/4.1h,TDP-43_Q331K:WT,m,W2,
TDP43-Q331K-B6J-IC/4.1h,TDP-43_Q331K:WT,m,W3,
TDP43-Q331K-B6J-IC/4.2b,TDP-43_Q331K:WT,f,F1,23.9
TDP43-Q331K-B6J-IC/4.2b,TDP-43_Q331K:WT,f,F2,10.2
TDP43-Q331K-B6J-IC/4.2b,TDP-43_Q331K:WT,f,F3,33.2
TDP43-Q331K-B6J-IC/4.2b,TDP-43_Q331K:WT,f,N1,32.9
TDP43-Q331K-B6J-IC/4.2b,TDP-43_Q331K:WT,f,N2,11.3
TDP43-Q331K-B6J-IC/4.2b,TDP-43_Q331K:WT,f,N3,11.7
TDP43-Q331K-B6J-IC/4.2b,TDP-43_Q331K:WT,f,W1,32.5
TDP43-Q331K-B6J-IC/4.2b,TDP-43_Q331K:WT,f,W2,8.4
TDP43-Q331K-B6J-IC/4.2b,TDP-43_Q331K:WT,f,W3,4
TDP43-Q331K-B6J-IC/4.2e,TDP-43_Q331K:Hom,f,F1,31.1
TDP43-Q331K-B6J-IC/4.2e,TDP-43_Q331K:Hom,f,F2,18.5
TDP43-Q331K-B6J-IC/4.2e,TDP-43_Q331K:Hom,f,F3,11.3
TDP43-Q331K-B6J-IC/4.2e,TDP-43_Q331K:Hom,f,N1,23.2
TDP43-Q331K-B6J-IC/4.2e,TDP-43_Q331K:Hom,f,N2,18.4
TDP43-Q331K-B6J-IC/4.2e,TDP-43_Q331K:Hom,f,N3,12.1
TDP43-Q331K-B6J-IC/4.2e,TDP-43_Q331K:Hom,f,W1,27.1
TDP43-Q331K-B6J-IC/4.2e,TDP-43_Q331K:Hom,f,W2,9.5
TDP43-Q331K-B6J-IC/4.2e,TDP-43_Q331K:Hom,f,W3,4.4
TDP43-Q331K-B6J-IC/4.2g,TDP-43_Q331K:WT,f,F1,30.5
TDP43-Q331K-B6J-IC/4.2g,TDP-43_Q331K:WT,f,F2,8
TDP43-Q331K-B6J-IC/4.2g,TDP-43_Q331K:WT,f,F3,0
TDP43-Q331K-B6J-IC/4.2g,TDP-43_Q331K:WT,f,N1,10.6
TDP43-Q331K-B6J-IC/4.2g,TDP-43_Q331K:WT,f,N2,15.1
TDP43-Q331K-B6J-IC/4.2g,TDP-43_Q331K:WT,f,N3,0
TDP43-Q331K-B6J-IC/4.2g,TDP-43_Q331K:WT,f,W1,15.7
TDP43-Q331K-B6J-IC/4.2g,TDP-43_Q331K:WT,f,W2,0.8
TDP43-Q331K-B6J-IC/4.2g,TDP-43_Q331K:WT,f,W3,0
TDP43-Q331K-B6J-IC/4.2n,TDP-43_Q331K:WT,m,F1,54.2
TDP43-Q331K-B6J-IC/4.2n,TDP-43_Q331K:WT,m,F2,27.1
TDP43-Q331K-B6J-IC/4.2n,TDP-43_Q331K:WT,m,F3,37.3
TDP43-Q331K-B6J-IC/4.2n,TDP-43_Q331K:WT,m,N1,41.6
TDP43-Q331K-B6J-IC/4.2n,TDP-43_Q331K:WT,m,N2,35.6
TDP43-Q331K-B6J-IC/4.2n,TDP-43_Q331K:WT,m,N3,15.1
TDP43-Q331K-B6J-IC/4.2n,TDP-43_Q331K:WT,m,W1,36.1
TDP43-Q331K-B6J-IC/4.2n,TDP-43_Q331K:WT,m,W2,19.3
TDP43-Q331K-B6J-IC/4.2n,TDP-43_Q331K:WT,m,W3,4.6
TDP43-Q331K-B6J-IC/5.1f,TDP-43_Q331K:Hom,f,F1,30.8
TDP43-Q331K-B6J-IC/5.1f,TDP-43_Q331K:Hom,f,F2,4.5
TDP43-Q331K-B6J-IC/5.1f,TDP-43_Q331K:Hom,f,F3,4.2
TDP43-Q331K-B6J-IC/5.1f,TDP-43_Q331K:Hom,f,N1,12
TDP43-Q331K-B6J-IC/5.1f,TDP-43_Q331K:Hom,f,N2,26.8
TDP43-Q331K-B6J-IC/5.1f,TDP-43_Q331K:Hom,f,N3,4.3
TDP43-Q331K-B6J-IC/5.1f,TDP-43_Q331K:Hom,f,W1,
TDP43-Q331K-B6J-IC/5.1f,TDP-43_Q331K:Hom,f,W2,
TDP43-Q331K-B6J-IC/5.1f,TDP-43_Q331K:Hom,f,W3,
TDP43-Q331K-B6J-IC/5.1g,TDP-43_Q331K:Hom,m,F1,23.1
TDP43-Q331K-B6J-IC/5.1g,TDP-43_Q331K:Hom,m,F2,6.1
TDP43-Q331K-B6J-IC/5.1g,TDP-43_Q331K:Hom,m,F3,0
TDP43-Q331K-B6J-IC/5.1g,TDP-43_Q331K:Hom,m,N1,38
TDP43-Q331K-B6J-IC/5.1g,TDP-43_Q331K:Hom,m,N2,22.2
TDP43-Q331K-B6J-IC/5.1g,TDP-43_Q331K:Hom,m,N3,4.7
TDP43-Q331K-B6J-IC/5.1g,TDP-43_Q331K:Hom,m,W1,17.3
TDP43-Q331K-B6J-IC/5.1g,TDP-43_Q331K:Hom,m,W2,0
TDP43-Q331K-B6J-IC/5.1g,TDP-43_Q331K:Hom,m,W3,0
TDP43-Q331K-B6J-IC/5.1j,TDP-43_Q331K:Hom,m,F1,13.3
TDP43-Q331K-B6J-IC/5.1j,TDP-43_Q331K:Hom,m,F2,43.4
TDP43-Q331K-B6J-IC/5.1j,TDP-43_Q331K:Hom,m,F3,6.7
TDP43-Q331K-B6J-IC/5.1j,TDP-43_Q331K:Hom,m,N1,30.5
TDP43-Q331K-B6J-IC/5.1j,TDP-43_Q331K:Hom,m,N2,15.3
TDP43-Q331K-B6J-IC/5.1j,TDP-43_Q331K:Hom,m,N3,7.6
TDP43-Q331K-B6J-IC/5.1j,TDP-43_Q331K:Hom,m,W1,11.4
